Title	Creator	Performer	Lang.	Rec Date	Genre	Sub-genre	Topic	Mood	Dominant Instrument	Ins. Sk.	Lyr	Voc	Mel	Rhy	ddr	T'po	Stu In
string	string	string	string	int	string	string	string	string	string	int	int	int	int	int	int	int	-
In my world	Rookiez is Punk'd	rookiez is punk'd	Japanese	2011	rock	jrock	depressed	sad	guitar	8	10	7	7	8	0	7	RN
indestructible	Disturbed	disutrbed	english	2008	rock	hardrock	overwhelming	carzy	guitar	9	8	8	7	8	7	4	RN
Kuchizuke Daimond	weaver	weaver	Japanese	2016	pop	jpop	love	sad	piano	8	8	7	8	8	6	6	RN
Miwa change	miwa, Fumiko Orikasa	miwa	Japanese	2011	rock, pop	jpop, jrock 	finding yourself	sad	Null	8	6	9	7	7	6	8	RN
share the world	TVXQ	TVXQ	Japanese	2009	pop	jpop	understanding	sad, happy	synthesizer	8	7	7	7	9	6	6	RN
Act Up	JT, EarlThePearll, Lil Yachty	City Girls	English	2018	Rap	Trap 	Scamming	Diva	Synthesizer	4	10	10	8	6	10	6	SG
Bleach	Dom McLennon, ​bearface, Ryan Beatty, Joba, Ameer Vann, Merlyn Wood, Matt Champion & Kevin Abstract	BROCKHAMPTON	English	2017	hip-hop, R&B	Altpop	Depression	Helplessness	Synthesizer	6	10	10	9	9	3	5	SG
FANCY	Jeon Goon, Black Eyed Pelseung	TWICE	Korean	2019	pop	Kpop	Love	Happy	Synthesizer	5	8	10	8	10	10	7	SG
ODD FUTURE	katsuya, TAKUYA	Uverworld	Japanese	2018	rock	Jrock	Escaping Darkness	Excited	Synthesizer	10	9	6	9	9	7	9	SG
Peace Sign	Kenshi Yonezu	Kenshi Yonezu, Youhei Makabe, Yu Suto, Masaki Hori, Ichiyo Izawa	Japanese	2017	rock	Jrock	Self Strength	Uplifiting	Guitar	10	9	7	9	8	7	9	SG
Gotta Go	B.E.P, Jeongoon	Chung Ha	Korean	2019	pop	Kpop	Loving too late	Sexy	Synthesizer	7	10	10	9	9	10	5	SG
Bon Bon Chocolate	JQ, Tomboy, Yunsu, jiwon Lee	Everglow	Korean	2019	pop	Kpop	Possiblities	Bad Girl	Synthesizer	6	8	10	7	8	10	5	SG
Needy	Ariana Grande, Tayla Parx, Tommy Brown, Victoria Monet	Ariana Grande	English	2019	pop	null	Relationship Anxieties	Helplessness	Piano/ Synthesizer	7	9	10	6	9	2	3	SG
Home	J-Hope, ADORA, Julia Ross, Krysta Youngs, Lauren Dyson, Pdogg, RM, Suga, Tushar Apte, Jaegyeon Song, Bobby Jeong	BTS	Korean	2019	pop	Kpop	Love	Excited/Comforted	Synthesizer	6	10	10	9	9	10	7	SG
Honesty	Pink Sweat$	Pink Sweat$	English	2018	R&B & Soul	null	Love	Calm	Guitar	7	10	9	8	8	2	2	SG
